"LANDSCAP_2","disturb_ha_2020","disturb_ha_2030","disturb_ha_2040","disturb_ha_2050","disturb_ha_2060","disturb_ha_2070","disturb_ha_2080","disturb_ha_2090","calc_area_ha","perc_disturb_2020","perc_disturb_2030","perc_disturb_2040","perc_disturb_2050","perc_disturb_2060","perc_disturb_2070","perc_disturb_2080","perc_disturb_2090"
"70","Akie",19092.7749633789,19083.7749633789,24416.2923126221,25573.6106719971,26684.284942627,29142.9538574219,30925.5593261719,38126.8796386719,102467.687816996,18.6329713982401,18.6241881415943,23.8282846356685,24.9577317658135,26.0416581179075,28.4411159052112,30.180791608574,37.2086854411755
"71","Akie River",0.670899987220764,0.670899987220764,0.670899987220764,801.6708984375,801.6708984375,801.6708984375,1445.02026367188,12680.72265625,45937.1240820313,0.00146047450864081,0.00146047450864081,0.00146047450864081,1.74514820955255,1.74514820955255,1.74514820955255,3.14564808430641,27.6045201123293
"72","North Firesteel",1729.13549804688,1729.13549804688,1729.13549804688,1729.13549804688,2160.13549804688,5788.57080078125,6382.57080078125,6415.4462890625,44195.7042778377,3.91245150699853,3.91245150699853,3.91245150699853,3.91245150699853,4.88765940795312,13.0975869609209,14.4416089868305,14.515995149057
"73","Duti",0,0,0,0,0,0,0,0,0.0304003521433395,0,0,0,0,0,0,0,0
"74","McCusker",264,264,1053,1053,1698.31823730469,4867.93766784668,9771.08450317383,19443.4986572266,85314.2643552602,0.309444149809073,0.309444149809073,1.23426018844301,1.23426018844301,1.99066152669694,5.70588951875143,11.4530490030198,22.7904428458308
"75","Pesika",1991.53295898438,1983.61901855469,1749.86254882812,1911.15856933594,2169.60375976562,2940.70458984375,4258.18359375,23410.791015625,67973.5308132206,2.92986539783664,2.91822271820089,2.57432934245603,2.81162173933184,3.19183619536746,4.32624957783096,6.26447316007572,34.4410401159736
"76","Lower Akie",6991.58825683594,6945.58825683594,6793.400390625,6778.400390625,7267.68212890625,7751.68237304688,10711.2136230469,14924.3229980469,19934.3989720561,35.072982469332,34.8422255748579,34.0787821099996,34.0035352965841,36.4579947411208,38.8859598120472,53.7323128631156,74.8671831990906
"77","Tatlatui",657.073120117188,2325.96704101562,2325.96704101562,2325.96704101562,2928.98828125,2928.98828125,2928.98828125,2950.11279296875,71004.6938437388,0.925393920524774,3.27579335266823,3.27579335266823,3.27579335266823,4.125062897526,4.125062897526,4.125062897526,4.15481376408877
"78","Upper Ospika",0,17,17,539,3515.67797851562,14190.5055541992,15058.7770385742,17228.9069824219,34494.9782834732,0,0.0492825357369331,0.0492825357369331,1.56254628012982,10.191854447985,41.1378880647042,43.6549833857672,49.9461308276178
"79","South Firesteel",142.359752655029,2242.51308441162,2242.51308441162,2242.51308441162,2242.51308441162,2242.51308441162,2358.27105712891,2358.27105712891,56670.1269139006,0.25120775337475,3.95713439607907,3.95713439607907,3.95713439607907,3.95713439607907,3.95713439607907,4.16140069831121,4.16140069831121
"80","Pelly",15670.2774946392,15450.8150922954,15044.293127805,12936.36148718,3042.34698784351,13169.0609344244,23760.0980437994,49449.1322234869,138673.335816648,11.3001374073515,11.1418788632332,10.8487280840322,9.32865818147211,2.19389471662099,9.49646221234368,17.1338620390691,35.6587168919539
"81","Lower Pesika",0.385193377733231,0.385193377733231,0.385193377733231,21.5137634277344,21.5137634277344,816.888244628906,2604.31982421875,3713.76049804688,4953.2519296875,0.00777657553464139,0.00777657553464139,0.00777657553464139,0.434336143873297,0.434336143873297,16.4919583381749,52.5779803084447,74.9762085749831
"82","Ospika Cones",0,0,0,0,63.1601486206055,248.029739379883,248.029739379883,383.380706787109,1505.25689921875,0,0,0,0,4.19597137560947,16.4775686800448,16.4775686800448,25.4694535521538
"83","Collins - Davis",19090.107421875,18208.046875,17882.271484375,21072.158203125,28382.130859375,32457.5546875,35446.99609375,44984.84375,89149.0997266862,21.4136850292393,20.4242633193407,20.0588357473026,23.6369837359302,31.8366993569078,36.4081687723247,39.7614739828261,50.4602333483061
"84","Ed Bird Estells Lake",2488.55670166016,2488.55670166016,2430.55671691895,1573.58406066895,1909.26727294922,1934.26727294922,1941.26727294922,1944.26727294922,5263.65588203063,47.2781039914812,47.2781039914812,46.1762085400856,29.8952685345738,36.2726461558246,36.7476012167234,36.880588633775,36.9375832410829
"85","North Ingenika",23007.1660757661,22443.1660757661,22530.8438101411,23068.3727986366,9006.61079785228,13652.5939947665,17802.3849527538,31668.0668499172,47688.1154820126,48.2450728933587,47.0623882888209,47.2462448608175,48.3734208522827,18.886489237029,28.6289232794617,37.3308627795716,66.4066225511931
"86","Ingenika",20829.578125,20869.578125,20487.568359375,22823.3046875,24556.125,31573.486328125,35120.04296875,50922.75,124380.423433136,16.7466692507262,16.7788286524197,16.4716985148299,18.3495955854896,19.7427571978003,25.3846107422991,28.2359892331687,40.9411293147549
"87","Lower Ospika",28499.259979248,28450.260345459,30810.7698364258,39639.0509033203,46925.1884765625,52399.3283691406,54001.16015625,61629.3203125,102390.507133366,27.8338888800767,27.7860332388059,30.0914320077486,38.7135995446234,45.8296279511941,51.1759633155145,52.7403971990414,60.1904630008585
"88","Johanson",0.00928321095579033,0.0101430659899335,0.0101430659899335,0.00958822404684834,0.0104675615923326,0.0109303851397555,0.0117175110401433,0.0122450391547602,0.0597005505590607,15.5496236950221,16.9899036021438,16.9899036021438,16.0605286836725,17.5334423121899,18.3086839859915,19.6271406719296,20.5107642058449
"89","Chunamon",102227.937231729,100772.976294229,99022.5934817288,111056.853686225,114807.597262274,119467.412760627,127315.164164435,133989.867289435,185995.466156275,54.9625963171792,54.1803401861197,53.2392512183761,59.7094413005282,61.72601925996,64.2313574784932,68.4506815114859,72.0393190535386
"90","Mosque",0,0,0,0,0,0,0,0,0.0101176450123297,0,0,0,0,0,0,0,0
"91","Swannell",5067.37744140625,5068.37744140625,4990.9609375,6626.30078125,10609.4599609375,11352.1396484375,11366.1396484375,15018.05859375,63898.1774621352,7.93039432839705,7.93195931826017,7.8108032744088,10.3700935526316,16.6036972920307,17.7659834745123,17.787893332596,23.5031094629411
"92","Birdflat",0,0,0,0.000946452550124377,0.000946452550124377,0.000946452550124377,0.000946452550124377,0.000946452550124377,0.0147479111839577,0,0,0,6.41753627560421,6.41753627560421,6.41753627560421,6.41753627560421,6.41753627560421
"93","Mesilinka",58706.6953125,61091.8515625,60288.375,63590.37890625,57844.51953125,62693.38671875,64456.35546875,72329.3828125,122522.169513658,47.9151614320345,49.8618754507853,49.206094896385,51.901120555298,47.2114718184141,51.1690145282332,52.6079122860822,59.0337104701998
"94","Firth",0.0172096313908696,0.0169193595647812,0.0166349513456225,0.0166349513456225,0.0166349513456225,0.0166349513456225,0.0169193595647812,0.0169193595647812,0.0254897903865927,67.5157823185617,66.377005491895,65.261232412379,65.261232412379,65.261232412379,65.261232412379,66.377005491895,66.377005491895
"95","Tudyah B",1024.53271484375,1069.90625,1078.71643066406,1079.01281738281,1079.01281738281,1079.03442382812,1079.18579101562,1079.18579101562,1079.18583237749,94.9357083929341,99.1401311897281,99.9565040886062,99.9839680072251,99.9839680072251,99.9859701133188,99.9999961673086,99.9999961673086
