"WATERSHED_","disturb_ha_2020","disturb_ha_2030","disturb_ha_2040","disturb_ha_2050","disturb_ha_2060","disturb_ha_2070","disturb_ha_2080","disturb_ha_2090","calc_area_ha","perc_disturb_2020","perc_disturb_2030","perc_disturb_2040","perc_disturb_2050","perc_disturb_2060","perc_disturb_2070","perc_disturb_2080","perc_disturb_2090"
"122",11944,44.6281127929688,44.6281127929688,44.6281127929688,44.8645133972168,37.9685020446777,37.9685020446777,37.9685020446777,37.9685020446777,44.9916240019249,99.1920469264665,99.1920469264665,99.1920469264665,99.7174794030491,84.3901568057496,84.3901568057496,84.3901568057496,84.3901568057496
"123",11956,2.9237973690033,2.9237973690033,2.9237973690033,3.18964695930481,3.18964695930481,3.18964695930481,3.18964695930481,3.18964695930481,12.5820589098739,23.2378292769621,23.2378292769621,23.2378292769621,25.350755247233,25.350755247233,25.350755247233,25.350755247233,25.350755247233
"124",11957,1.21321141719818,1.21321141719818,1.21321141719818,1.21321141719818,1.21321141719818,1.21321141719818,1.21321141719818,1.21321141719818,1.21321147902105,99.9999949041968,99.9999949041968,99.9999949041968,99.9999949041968,99.9999949041968,99.9999949041968,99.9999949041968,99.9999949041968
"125",11959,129.518096923828,129.518096923828,129.541473388672,129.541473388672,129.541473388672,129.541473388672,129.541473388672,129.541473388672,132.251803964897,97.9329529283437,97.9329529283437,97.9506286530922,97.9506286530922,97.9506286530922,97.9506286530922,97.9506286530922,97.9506286530922
"126",11961,0,0,0,0,0,0,0,0,2.42545085839873,0,0,0,0,0,0,0,0
"127",11964,0,0,0,0,0,0,0.190228402614594,0.190228402614594,5.46090066998089,0,0,0,0,0,0,3.48346205343558,3.48346205343558
"128",11962,30.6279449462891,32.8972625732422,33.7663536071777,33.8727836608887,34.362621307373,36.2814826965332,37.6886863708496,38.3588790893555,41.8230197905161,73.2322656271567,78.6582669975018,80.7362877580511,80.9907649675975,82.1619803627026,86.7500311509321,90.114694155576,91.7171435288225
"129",10319,4643.90408778191,4632.61795496941,4664.38406825066,4664.38406825066,4615.60623621941,4637.26004481316,4687.03836512566,4699.91629481316,4772.82171207086,97.2989222714331,97.0624555963014,97.728018133467,97.728018133467,96.7060266371602,97.1597165065929,98.2026701997217,98.4724881494459
"130",10320,2890.96801757812,2672.16748046875,2840.06787109375,3098.9052734375,3086.68334960938,3088.2880859375,3108.51000976562,3175.62622070312,5291.6284578339,54.6328609541405,50.4980177985245,53.6709614766928,58.5624122731024,58.3314451157232,58.3617710605796,58.743920411942,60.0122674146145
"131",10321,266.147338867188,219.792282104492,219.792282104492,224.95491027832,224.95491027832,224.95491027832,224.95491027832,224.95491027832,2000.255350777,13.3056681370107,10.9882111810931,10.9882111810931,11.2463096369639,11.2463096369639,11.2463096369639,11.2463096369639,11.2463096369639
